,kingdom,supergroup,division,class,order,family,genus,species,taxon
Cercozoa_200,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Rhogostoma-lineage,Rhogostoma,Rhogostoma_sp.,Rhogostoma_sp.
Sagenista_54,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Labyrinthulales,Labyrinthulaceae,Aplanochytrium,Aplanochytrium_sp.,Aplanochytrium_sp.
Apicomplexa_156,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Eimeriida,Eimeriidae,,,Eimeriidae
Apusomonadidae_14,Eukaryota,Apusozoa,Apusomonadidae,,,,,,Apusomonadidae
Centroheliozoa_7,Eukaryota,Hacrobia,Centroheliozoa,Centroheliozoa_X,,,,,Centroheliozoa_X
Ciliophora_1186,Eukaryota,Alveolata,Ciliophora,Heterotrichea,Heterotrichea_X,Fabreidae,Fabrea,Fabrea_salina,Fabrea_salina
Ciliophora_750,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Oligohymenophorea_X,Oligohymenophorea_XX,Cinetochilum,Cinetochilum_ovale,Cinetochilum_ovale
Conosa_96,Eukaryota,Amoebozoa,Conosa,,,,,,Conosa
Conosa_97,Eukaryota,Amoebozoa,Conosa,Mycetozoa-Myxogastrea,Trichiales,Trichiaceae,Trichia,Trichia_persimilis,Trichia_persimilis
Cryptophyta_5,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Cryptomonas,Cryptomonas_ovata,Cryptomonas_ovata
Radiolaria_29,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Spumellarida,Spongodiscidae-Coccodiscidae,Hexacontium,Hexacontium_pachydermum,Hexacontium_pachydermum
Sagenista_30,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Thraustochytriales,Thraustochytriaceae,Thraustochytriaceae_X,Thraustochytriaceae_X_sp.,Thraustochytriaceae_X_sp.
Sagenista_31,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Thraustochytriales,Thraustochytriaceae,Thraustochytriaceae_X,Thraustochytriaceae_X_sp.,Thraustochytriaceae_X_sp.
Cercozoa_311,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Cercomonadidae,Cercomonas,Cercomonas_plasmodialis,Cercomonas_plasmodialis
