,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
08.06.2019_2A_Top_24h_16S.exp.,2.174573774,0.08291215,2.351930596,0.119743686,3179.413715,159.7217525,3367876.901,167723.2527,65.6935774,2.363681394,0.464014328,0.035740272,0.497702467,0.039174551
2019.08.07_7.2_16S.exp.,1.913211225,0.408322282,2.49990592,1.435765168,2992.415008,381.213266,3307778.678,329119.493,56.82217387,7.948819672,0.397683571,0.124282393,0.474468611,0.162434414
2019.08.06_1.4_16S.exp.,1.95652445,0.37179683,2.408959284,1.256725187,2991.061591,375.1091585,3305766.453,332372.2051,57.05223207,7.993211831,0.395032753,0.118995145,0.474241495,0.160519595
08.06.2019_3_T0_16S.exp.,2.041220288,0.282941483,2.399755711,0.844880292,2898.485847,385.6530546,3262624.585,351388.8195,54.74270285,8.252318647,0.3593477,0.111904142,0.453349602,0.179693574
2019.08.06_4_salt_16S.exp.,1.885342176,0.46919117,2.453376218,0.972350941,2934.401788,351.9372982,3249055.576,315840.9921,57.4820948,8.395619443,0.412280983,0.134127828,0.447865993,0.154325251
08.06.2019_2A_Top_48h_16S.exp.,2.163767602,0.126295387,2.345903203,0.228806069,3165.464725,245.0672882,3355651.336,261175.2946,65.38134659,3.452723179,0.459708582,0.053406511,0.492728146,0.058432403
08.06.2019_5A_48h_16S.exp.,1.860757832,0.479291946,2.427539298,0.843003801,2873.923658,380.3821268,3173832.446,383571.4815,58.5633756,8.192512924,0.428756566,0.133411564,0.467046017,0.150320165
2019.08.06_5_sediment_16S.exp.,1.567213336,0.537900201,2.956566058,0.754837338,3127.111261,355.6891591,3308735.797,420347.7898,64.73095835,3.385375389,0.522901591,0.096912593,0.487732394,0.098200759
2019.08.06_4.1_16S.exp.,2.017413101,0.330387253,2.348794759,0.917528304,2922.280825,352.8485519,3277406.076,301938.6094,55.62664238,8.254186981,0.374143345,0.114278495,0.432823798,0.159678965
08.06.2019_4A_48h_16S.exp.,2.010599934,0.334508684,2.307420922,0.861191871,2891.127857,377.6479834,3255975.348,343992.779,54.8426915,8.118204527,0.366997797,0.118734944,0.423112153,0.164507874
08.06.2019_4A_10h_16S.exp.,2.079676616,0.278018238,2.297533124,0.522133703,3020.732278,370.2459865,3275408.677,355669.6141,61.09809998,7.863211555,0.4233387,0.101199728,0.466458022,0.12209977
2019.08.06_5_salt_16S.exp.,1.953212632,0.333865902,2.310531156,0.799099547,2841.752185,328.2185848,3213926.182,298303.6242,54.49401377,8.104346381,0.36486883,0.11926598,0.435018821,0.173045445
08.06.2019_2B_Top_24h_16S.exp.,2.170832973,0.109556277,2.349277744,0.134157985,3172.910907,202.919532,3359727.221,218350.898,65.66371153,2.621318807,0.463232141,0.042315281,0.496954356,0.045823853
2019.08.06_4_CP_ULT_16S.exp.,2.054137397,0.322480173,2.326256796,0.773710325,2888.911791,332.6824492,3266325.277,271966.5156,54.48464216,8.014177057,0.359342125,0.109606203,0.427571371,0.166940463
2019.08.07_8_salt_16S.exp.,2.024033745,0.268125861,2.24360378,0.990592118,2959.832454,323.5235257,3294729.385,250448.1673,55.98863542,7.938086368,0.37500157,0.101871203,0.464252685,0.163181294
08.06.2019_2_Top_T0_16S.exp.,2.179636364,0.03346063,2.362181818,0.105400959,3190.658545,61.87941294,3380148.517,55489.05517,65.83040719,1.498417535,0.466064444,0.017468027,0.499831795,0.020539734
2019.08.07_6.1_lab_16S.exp.,1.997180551,0.299507387,2.260711176,1.0207711,2933.995137,337.4520789,3283840.82,273959.5777,55.23866637,7.919072544,0.368088321,0.107306307,0.459221803,0.170802723
08.06.2019_2A_Bottom_10h_16S.exp.,2.108949354,0.27045939,2.300341237,0.380714718,3111.431419,345.6495438,3297572.748,381806.7488,64.95019259,4.20372714,0.465143697,0.067820806,0.494227502,0.070315384
08.06.2019_4A_24h_16S.exp.,2.043759986,0.329223274,2.327778532,0.830652165,2910.189801,325.7864626,3275457.508,260517.0782,55.2061072,8.157824656,0.369305503,0.111507311,0.427409327,0.159378999
08.06.2019_2A_Bottom_24h_16S.exp.,2.120084979,0.25272693,2.313280162,0.334559308,3122.519768,321.7798248,3307609.786,355317.7828,65.11088062,3.894277741,0.465875896,0.06417486,0.496447189,0.066634501
2019.08.07_8.1_lab_16S.exp.,2.006282318,0.288901815,2.283836491,1.003855459,2932.068484,343.3077241,3285219.542,280117.4482,55.11994427,7.931762523,0.365390381,0.105442908,0.459225828,0.171796823
2019.08.06_5.4_16S.exp.,1.814949515,0.495679009,2.489489391,0.834672583,2824.620456,386.0111238,3134127.608,402203.383,58.15013429,8.431227391,0.429000274,0.142525128,0.474432436,0.160334633
2019.08.07_7.2_lab_16S.exp.,1.941532559,0.401914468,2.449830285,1.343773106,3005.574316,373.4385344,3311166.429,330729.1905,57.52339292,7.922157341,0.402154188,0.119658691,0.47876788,0.156308701
2019.08.06_4.5_16S.exp.,2.05013076,0.308670697,2.340599485,0.849239184,2921.486749,323.5354332,3287098.375,251544.2297,55.18814849,8.127547463,0.366886331,0.106210849,0.413552764,0.150342447
08.06.2019_4A_diluted_48h_16S.exp.,2.078090439,0.39299396,2.431697331,0.88009341,2954.652616,368.6329504,3298702.368,326746.2083,56.77556524,8.448811746,0.385950623,0.116445279,0.433873328,0.151794178
