,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
2019.08.07_8.3_16S.exp.,1.117563235,0.831673915,3.988392115,1.342789984,3090.132585,363.6537674,3901643.631,525439.9053,65.13619212,4.490515515,0.364085927,0.017111412,0.490734252,0.147044384
2019.08.07_6.5_16S.exp.,1.106390884,0.791507806,2.942469656,1.753027988,2423.063868,945.8735965,3164976.844,1103797.276,53.71727984,15.02371021,0.38438944,0.03202811,0.48568898,0.12749497
2019.08.06_1.1_16S.exp.,1.332876994,1.371591508,3.782611176,1.466370437,3002.476145,779.1666274,3836897.393,1031247.916,61.44062611,10.73583559,0.364327917,0.032635983,0.555915829,0.139099256
08.06.2019_5_T0_16S.exp.,2.03395361,1.426226359,2.389062877,1.739794233,3163.490701,962.0061521,3828790.363,1363454.68,55.95494114,12.17746456,0.393323752,0.096984036,0.483045925,0.168194532
08.06.2019_4B_10h_16S.exp.,1.674253343,1.293291901,2.40291242,1.740275478,2941.442487,1206.11072,3459609.531,1486831.707,59.65108573,11.77957675,0.429804447,0.085345826,0.480134818,0.11780482
2019.08.06_3.2_16S.exp.,1.022345516,0.276555709,4.369605412,0.923317851,3074.016136,192.2875482,3866888.957,251757.0324,65.51253329,2.679069501,0.367781931,0.018051161,0.465011795,0.138266785
08.06.2019_4A_diluted_48h_16S.exp.,1.482121573,1.191022416,3.084028605,1.682302702,3148.228212,1105.272023,3762922.365,1286464.161,61.49067461,9.346956281,0.403168573,0.072965853,0.493722859,0.135001578
2019.08.07_8.3_lab_16S.exp.,1.096805421,0.756072548,3.820210821,1.330575979,3053.443907,373.356789,3855886.025,517334.0177,64.99917717,5.013685959,0.364798813,0.016125343,0.510776244,0.148364305
2019.08.07_6.3_lab_16S.exp.,1.07266436,0.65637663,2.209198385,1.688780219,2046.94233,940.9475076,2742096.903,1083071.951,47.63935306,15.13589416,0.396125274,0.031249404,0.45704065,0.105956985
2019.08.06_2.3_bottom_16S.exp.,1.955206068,1.023248264,1.146493567,0.644641671,2512.136853,917.6103282,2845915.41,1184958.033,50.4605123,15.65514029,0.437281095,0.112386104,0.465110848,0.137428959
