,5,12,40,57,62,65,99,110,112,113,114,127,128,136,141,146,148,151,154,155,156,157,160,162,163,164,166,167,168,169,170,171,175,176,177,178,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,203,204,206,207,208,209,211,213,214,215,216,218,219,220,221,223,224,225,228,230,232,233,234,251,256,301,302,303,306,318,320,406,407,408,418,434,468,469,470,474
08.06.2019_1_T0_16S.exp.,,,,,,,,,,,,,,,,,373,,309,231,38,,26.66666667,,8,101.6666667,40,14,31,,,,,114.1904762,63.30434783,,,,,,,,,67,16,123.1724138,13,66,2827,1969.5,,,100.5,37.5,,,124.5,,,187,78,822.5,14.57142857,1482.916667,,,,3015.5,,78,310.7045455,358.1679389,6.928571429,16.74568966,,,,59,50,,,,,,,,10.21428571,,,,
2019.08.07_6.1_16S.exp.,,,,,,,,,,,,,,,,,120,,133,59,17,,21.66666667,,,51.66666667,32.5,,17,,,,,54.47619048,19.2173913,,,,,,,,,29,,57,,78.5,3524,1831.5,,,8,14.5,,,51.5,,,177.5,53.66666667,448.5,0.428571429,592.0833333,,,,1695.5,,49.5,130.2954545,261.5267176,,12.21982759,,,,38,37,,,,,,,,,,,,
2019.08.06_2_sediment_16S.exp.,8,,,,,,17,,,1.193548387,,39,,,,,,,13,,,,,,6.181818182,,,,,,,,,,,24,,,,,,,,,,,,,,,,,4.5,7,,6,,,,,,,,,,,,,,21,,8.702290076,9.959821429,,29,,,652,,,,36,345.3584906,44.16666667,19.63636364,3750,873.7857143,,0.5,62.10875332,6.5
08.06.2019_5A_10h_16S.exp.,,,,,,,,,,,,,,,,,,,28,,,,14.66666667,,2.909090909,139,52.5,,11,13,,,,94.28571429,5.086956522,13,,,,,1439,,,59,,83.20689655,,37.5,1796.5,628.5,,,260,,4.5,,20.5,,,344,149,141,32.57142857,283.3333333,,,81.58333333,1050.5,125.5,36,216.2045455,349.9236641,,,,,,13,,,,,,,,,,,,,
2019.08.07_6.4_16S.exp.,,,,,,,,,,,,,,,,,109,,135,50,,,21.33333333,,,56.66666667,42.5,,25,,,,,71.23809524,14.69565217,,,,,,15,,,32,,60.93103448,,48.5,3162,1653,,,,,,,57,,,211,69,487.5,5.142857143,620.8333333,,,,1519.5,,67.5,95.45454545,294.5038168,3.897321429,9.504310345,,,,53,41,,,,,,,,,,,,
2019.08.06_4.4_16S.exp.,,,,,,,0.666666667,,,,,,,,,,9,4.666666667,,,7,,,,3.636363636,153.3333333,35.5,21,,,,,,118.9047619,,39,,,,,243,13,,89,,182.7931034,5,62,4156,1235.5,,,283,,,6,13,,,364,235.3333333,108,32.14285714,354.5833333,,,45.83333333,1352,42.5,75,435.75,699.8473282,,,,,,29,40,,,,,,,,,,,,
2019.08.06_1_CP_ULT_16S.exp.,,,,,,,,,,,,,,,,,296,,240,170,,,23.33333333,,,41.66666667,32.5,35,29,,,,,49.76190476,84.7826087,,,,,,,,,48,,98.27586207,,49,2478,1568,,,,20,,,56,,,112,35.66666667,764.5,6.857142857,1311.25,,,,1942,2.5,63.5,179.4545455,246.4122137,,14.03017241,,,,64,37,,,,,,,,,,,,
2019.08.07_8.2_16S.exp.,,,,,,,,,,,,,,,,,140,,165,40,48,,22,,,102.3333333,50.5,72,24,,,,,121.5238095,7.347826087,,,,,,,,,38,,100.8965517,,109.5,4623,2430.5,,,205,,,,99,,,295.5,100.3333333,595,10.28571429,937.5,,,,2558,,70,211.4318182,351.7557252,,13.125,,,,36,51,,,,,,,,,,,,
08.06.2019_4_T0_16S.exp.,,,,,,,,,,,,,,,,,59,,,46,,,1,,,211,10.5,,,,,,,38.23809524,,,,,,,153,8,,29,,83.20689655,,,2728,730,,,178,,,,14,,,252.5,134.3333333,32.5,21,260.4166667,,,200.2916667,915.5,,28.5,506.8636364,215.7251908,,,,,,9,,,,,,,,,,,,,
08.06.2019_3B_48h_16S.exp.,,,,,,,,,,,,,,,,,8,,55,,,,,,2.545454545,270.6666667,53,30,23,,,,,123.0952381,,,,,,,91,,,,,122.5172414,,212.5,5080,2841,,,18.5,,,,63,,,395,198,193,27,567.0833333,,,1.833333333,1760,,38.5,255.8181818,1224.274809,,,,,,163,45,,,,,,,,,,,,
08.06.2019_3B_10h_16S.exp.,,,,,,,,,,,,,,,,,32,,34,,23,,7.333333333,,1.818181818,281,52,18,10,,,,,114.7142857,,,,,,,71,,,,,87.13793103,,218.5,4350.5,2335,,,265,,,,62.5,,,339,169.6666667,193,26.57142857,545.8333333,,,,1438,13.5,36,291.6136364,1129.923664,,,,,,98,37,,,,,,,,,,,,
2019.08.07_8.4_16S.exp.,,,,,,,,,,,,,,,,,159,,180,45,32,,18.33333333,,3.636363636,98,60.5,68,14,,,,,101.0952381,7.913043478,,,,,,,,,30,,115.3103448,,90,4473.5,2441,,,182,17,,,93,,,258.5,94,576.5,5.142857143,954.5833333,,,,2673.5,,91.5,206.1818182,311.9083969,,9.504310345,,,,59,56,,,,,,,,,,,,
08.06.2019_4B_diluted_48h_16S.exp.,,,,,,,,,,,,,,,,,26,,28,16,,,,,,144,10.5,,8,,,,,40.33333333,5.652173913,,,,,,35,,,,,85.17241379,,11.5,1756,417,,,69.5,,,,14.5,,,132.5,88.66666667,73,,217.9166667,,,484.4583333,399.5,,36.5,333.1363636,148.3969466,,,,,,11,18,,,,,,,,,,,,
2019.08.06_1_CP_0.2_16S.exp.,,,,,,,,,,,,,,,,,546,,312,261,132,,11.33333333,,13.81818182,174,49,,36,,,,5.5,137.2380952,76.30434783,,,,,,,,,115,12,224.7241379,9.5,36.5,1921,1635.5,,,166.5,34.5,,,257,,,169,52,965.5,8.142857143,1862.5,20.5,5.142857143,,3068.5,2.5,115,284.9318182,197.4045802,6.928571429,10.86206897,,,,56,21,,,,,,,,,,,,
08.06.2019_2B_Bottom_24h_16S.exp.,,,,,,0.666666667,,,,0.795698925,,,,,,,,,,,,,0.666666667,,,,,,,,,,,,,20,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,2738.541667,7.5,,,6.204545455,0.458015267,,4.073275862,,,,22,,,,,,,,0.833333333,0.928571429,3.552,,,
2019.08.06_1_salt_16S.exp.,,,,,,,,,,,,,,,,,208,,72,,,,10.33333333,,4,148.3333333,24,67,,,,,,109.4761905,17.52173913,,,,,,,,,,,105.4827586,,42.5,2040.5,917.5,,,,,,,248,,,164.5,48.66666667,168,,340,,,,2034.5,,38,137.9318182,839.0839695,,,,,,109,18,,,,,,,,,,,,
2019.08.06_4.3_16S.exp.,,,,,,,,,,1.989247312,,,,,,,,10.66666667,21,,,,,,4.727272727,106,,23,4,,,,,55.52380952,,,,,,,56,,,24,,111.3793103,,57,2600.5,1008.5,,,23,,,,21,,,188,115.3333333,90,,290.8333333,,,53.625,661,20.5,35.5,143.6590909,320.1526718,,6.336206897,,,,23,17,,,,,,,,7.428571429,,,,
08.06.2019_2A_Bottom_48h_16S.exp.,,,,,,,,,,,,,,,,,3,,8,,,,,,,3.333333333,,,,,,,,5.238095238,,,,,,,,,,,,,,,46.5,6.5,,,,,,,,,,,,12.5,,15,,,2030.875,12.5,,,5.25,4.122137405,,8.599137931,,,,35,,,,,,,5.890909091,,2.785714286,5.328,,,
2019.08.06_2.1_surface_16S.exp.,,,,1.588235294,,,,,,,,,,,,,2,,,,,,,,,2.666666667,,,,,,,,,,,,,,,,,,,,,,,35.5,3.5,,,,,,,,,,,,,,,,,2172.5,16,,,1.431818182,,,,,,,12,,,,,,,,,,,,,
08.06.2019_5B_24h_16S.exp.,,,,,,,,,,,,,,,,,6,,17,,,,9.333333333,,1.818181818,167.6666667,35,,12,,,,,63.38095238,,23,,,,,1295,,,55,,69.44827586,,,1732.5,487,,,,,,,11.5,,,267.5,138.6666667,137,33.85714286,242.0833333,,,,604,103.5,43,289.2272727,234.9618321,,,,,,7,,,,,,,,,,,,,
2019.08.06_1.3_16S.exp.,,,,,,,,,,,,,,,,,471,,243,233,36,,22,,,79.33333333,38,27,16,,,,,81.71428571,72.91304348,,,,,,,,,52,,88.44827586,,68,3490,2060,,,75,34,,,103.5,,,138.5,43.33333333,601,6,1268.333333,4,,,2329.5,,80.5,145.5681818,340.3053435,,20.36637931,,,,66,50,,,,,,,,9.285714286,,,,
2019.08.06_1.2_16S.exp.,,,,,,,,,,,,,,,,,494,,361,270,46,,32,,6.909090909,131,49.5,63,28,,,,,122.047619,59.91304348,,,,3,,,,,81,,131.6896552,,68,4183.5,2632,,,33.5,,37,,122,,,191,66.33333333,851,4.714285714,1639.583333,,,,2872,6.5,85,216.2045455,393.8931298,9.959821429,23.98706897,,,,97,47,,,,,,,,8.357142857,,,,
2019.08.06_5.2_16S.exp.,,,,,,,,,,,,,,,,,,,32,9,,,22,,1.818181818,94.66666667,117.5,,8,,,,,79.0952381,,26,,,,,1632,,,70,,91.72413793,,52.5,2645.5,815,,,208.5,,,,11.5,,,584,123.6666667,110.5,122.5714286,274.1666667,,,4.125,760.5,134.5,29.5,116.9318182,627.9389313,,2.262931034,,,,40,16,,,,,,,,,,,,
2019.08.07_6.5_16S.exp.,,,,,,,,,,,,,,,,,181,,210,69,18,,31,,2.545454545,68,54,67,22,,,,,88.52380952,18.08695652,,,,,,18,,,31,,95.65517241,,76,4080,2422,,,200.5,,,,90.5,,,285.5,99.33333333,676,3.428571429,821.6666667,,,,2279,,81.5,165.6136364,549.1603053,,19.9137931,,,,73,65,,,,,,,,,,,,
2019.08.07_6.3_lab_16S.exp.,,,,,,,,,,,,,,,,,42,,76,34,,,9,,,45.33333333,15.5,31,,,,,,24.61904762,9.608695652,,,,,,,,,,,49.79310345,,,1709,922,,,60,,,,35.5,,,116.5,31,209.5,3.428571429,367.0833333,,,,1026,,18,39.61363636,158.0152672,,4.073275862,,,,16,14,,,,,,,,,,,,
08.06.2019_1B_48h_16S.exp.,,,,,,,,,,,,,,,,,363,,250,187,9,,25.66666667,,10.54545455,91.66666667,60,78,23,,,,,108.4285714,58.2173913,,,,,,,,,76,,105.4827586,,65,2755,1867.5,,,93,37,,,138,,36.8,192.5,84.66666667,805,54.85714286,1497.083333,35,,,2616.5,4,71.5,287.7954545,353.129771,4.330357143,13.57758621,,,,81,59,,,,,,,,7.428571429,,,,
2019.08.06_3.1_16S.exp.,,,,,,,,,,,,,,,,,24,,50,,,,4.333333333,,1.090909091,243.6666667,57,35,13,,,,,106.3333333,,,,,,,106,,,,,150.6896552,2.5,146,5539.5,2801.5,4,,11,,,,64.5,,,271,199,149,23.57142857,522.5,,,2.75,1744,,38.5,239.1136364,1607.175573,,5.431034483,,,,213,69,,,,,,,,,,,,
08.06.2019_3B_24h_16S.exp.,,,,,,,,,,,,,,,,,20,,43,,5,,7.333333333,,2.909090909,325.6666667,55.5,39,11,,,,,148.7619048,,,,,,,87,,,,,129.0689655,3,214.5,5098,2853.5,,,,,,,78,,,440,199,248.5,1.714285714,580.4166667,,,,2098.5,9,59,308.3181818,1267.78626,,3.620689655,,,,156,48,,,,,,,,,,,,
2019.08.07_8.2_lab_16S.exp.,,,,,,,,,,,,,,,,,115,,102,20,53,,19.33333333,,,69.66666667,34.5,69,17,,,,,85.38095238,,,,,,,,,,26,,96.31034483,,65.5,3352.5,1962,,,161.5,17.5,,,86,,,231,77,424.5,4.285714286,759.1666667,,,,2174.5,,47,130.2954545,283.9694656,,11.31465517,,,,48,53,,,,,,,,,,,,
08.06.2019_1A_10h_16S.exp.,,,,,,,,,,,,,,,,,367,,295,259,15,,31,,1.818181818,83.66666667,47.5,50,43,,,,,115.2380952,78,,,,,,,,,72,12,105.4827586,,61.5,2982,2167,,,29.5,30.5,,,122,,,206.5,70,938.5,17.57142857,1470,12,,,2767.5,,77,309.75,381.5267176,7.361607143,19.9137931,,,,77,55,,,,,,,,7.428571429,,,,
