,Apicomplexa_156,Apicomplexa_326,Apicomplexa_327,Apicomplexa_422,Apicomplexa_433,Apusomonadidae_1,Apusomonadidae_14,Apusomonadidae_4,Apusomonadidae_5,Apusomonadidae_8,Centroheliozoa_1,Centroheliozoa_2,Centroheliozoa_4,Centroheliozoa_5,Centroheliozoa_7,Centroheliozoa_8,Cercozoa_1,Cercozoa_106,Cercozoa_135,Cercozoa_139,Cercozoa_14,Cercozoa_144,Cercozoa_155,Cercozoa_161,Cercozoa_165,Cercozoa_167,Cercozoa_170,Cercozoa_173,Cercozoa_195,Cercozoa_196,Cercozoa_198,Cercozoa_199,Cercozoa_20,Cercozoa_200,Cercozoa_207,Cercozoa_21,Cercozoa_212,Cercozoa_218,Cercozoa_23,Cercozoa_237,Cercozoa_239,Cercozoa_24,Cercozoa_242,Cercozoa_249,Cercozoa_250,Cercozoa_251,Cercozoa_252,Cercozoa_285,Cercozoa_287,Cercozoa_288,Cercozoa_289,Cercozoa_294,Cercozoa_311,Cercozoa_32,Cercozoa_324,Cercozoa_33,Cercozoa_332,Cercozoa_337,Cercozoa_338,Cercozoa_339,Cercozoa_347,Cercozoa_36,Cercozoa_409,Cercozoa_41,Cercozoa_412,Cercozoa_416,Cercozoa_418,Cercozoa_424,Cercozoa_432,Cercozoa_50,Cercozoa_55,Cercozoa_61,Cercozoa_64,Cercozoa_79,Cercozoa_8,Cercozoa_81,Cercozoa_86,Cercozoa_94,Cercozoa_95,Cercozoa_96,Chlorophyta_352,Chlorophyta_388,Chlorophyta_440,Chlorophyta_684,Chlorophyta_753,Chlorophyta_815,Ciliophora_104,Ciliophora_1186,Ciliophora_1225,Ciliophora_1308,Ciliophora_1325,Ciliophora_1344,Ciliophora_135,Ciliophora_1416,Ciliophora_1461,Ciliophora_1639,Ciliophora_191,Ciliophora_246,Ciliophora_357,Ciliophora_428,Ciliophora_446,Ciliophora_471,Ciliophora_472,Ciliophora_473,Ciliophora_520,Ciliophora_574,Ciliophora_583,Ciliophora_585,Ciliophora_667,Ciliophora_750,Ciliophora_78,Ciliophora_800,Ciliophora_807,Ciliophora_817,Ciliophora_818,Conosa_124,Conosa_125,Conosa_126,Conosa_135,Conosa_30,Conosa_41,Conosa_64,Conosa_69,Conosa_91,Conosa_96,Conosa_97,Cryptophyta_116,Cryptophyta_12,Cryptophyta_23,Cryptophyta_33,Cryptophyta_34,Cryptophyta_41,Cryptophyta_5,Cryptophyta_83,Cryptophyta_84,Dinoflagellata_1171,Dinoflagellata_1195,Dinoflagellata_1204,Dinoflagellata_124,Dinoflagellata_1249,Dinoflagellata_1376,Dinoflagellata_1397,Dinoflagellata_1417,Dinoflagellata_1495,Dinoflagellata_1539,Dinoflagellata_1541,Dinoflagellata_1597,Dinoflagellata_1712,Dinoflagellata_1729,Dinoflagellata_1778,Dinoflagellata_1804,Dinoflagellata_1817,Dinoflagellata_1928,Dinoflagellata_1942,Dinoflagellata_716,Dinoflagellata_717,Dinoflagellata_961,Dinoflagellata_97,Discoba_16,Discoba_17,Discoba_18,Discoba_25,Discoba_26,Discoba_30,Discoba_32,Discoba_34,Glaucophyta_2,Glaucophyta_6,Katablepharidophyta_1,Lobosa_27,Lobosa_39,Lobosa_44,Metamonada_11,Metamonada_12,Metamonada_15,Metamonada_16,Metamonada_17,Metamonada_19,Metamonada_22,Metamonada_24,Metamonada_30,Metamonada_33,Metamonada_6,Metamonada_7,Ochrophyta_1092,Ochrophyta_4,Ochrophyta_54,Ochrophyta_731,Ochrophyta_881,Opalozoa_10,Opalozoa_12,Opalozoa_131,Opalozoa_14,Opalozoa_164,Opalozoa_17,Opalozoa_173,Opalozoa_176,Opalozoa_180,Opalozoa_186,Opalozoa_190,Opalozoa_194,Opalozoa_198,Opalozoa_2,Opalozoa_25,Opalozoa_30,Opalozoa_4,Opalozoa_9,Picozoa_13,Picozoa_2,Picozoa_3,Picozoa_4,Pseudofungi_114,Pseudofungi_49,Pseudofungi_52,Pseudofungi_55,Radiolaria_0,Radiolaria_10,Radiolaria_101,Radiolaria_102,Radiolaria_103,Radiolaria_108,Radiolaria_11,Radiolaria_115,Radiolaria_116,Radiolaria_19,Radiolaria_2,Radiolaria_29,Radiolaria_30,Radiolaria_32,Radiolaria_33,Radiolaria_35,Radiolaria_36,Radiolaria_38,Radiolaria_43,Radiolaria_44,Radiolaria_45,Radiolaria_47,Radiolaria_48,Radiolaria_49,Radiolaria_50,Radiolaria_63,Radiolaria_66,Radiolaria_67,Radiolaria_71,Radiolaria_90,Rhodophyta_125,Rhodophyta_263,Rhodophyta_314,Sagenista_118,Sagenista_119,Sagenista_125,Sagenista_130,Sagenista_160,Sagenista_165,Sagenista_170,Sagenista_209,Sagenista_30,Sagenista_31,Sagenista_36,Sagenista_46,Sagenista_48,Sagenista_49,Sagenista_50,Sagenista_51,Sagenista_53,Sagenista_54,Sagenista_61,Sagenista_63,Sagenista_66,Sagenista_71,Sagenista_79,Sagenista_84,Sagenista_86,Sagenista_88,Sagenista_98,Streptophyta_2,Streptophyta_20,Streptophyta_229,Streptophyta_3,Streptophyta_30,Streptophyta_350,Streptophyta_390,Streptophyta_419,Streptophyta_424,Streptophyta_433,Streptophyta_437,Streptophyta_453,Streptophyta_458,Streptophyta_464,Streptophyta_474,Streptophyta_476,Streptophyta_48,Streptophyta_487,Streptophyta_494,Streptophyta_503,Streptophyta_504,Streptophyta_507,Streptophyta_51,Streptophyta_520,Streptophyta_521,Streptophyta_541,Streptophyta_543,Streptophyta_547,Streptophyta_550,Streptophyta_552,Streptophyta_557,Streptophyta_59,Telonemia_16,Telonemia_17,Telonemia_27,Telonemia_28,Telonemia_29,Telonemia_3
08.06.2019_2B_Top_24h_18S.18S.exp.,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,5,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,,,,,,,,,,83,,,,,,,,,7913,,,,,,,641,,,,,,,,,,,,,183,6,,9,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,36,,,,,,,27,34,,,,,,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852
2019.08.07_8_salt_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,10395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
08.06.2019_1B_24h_18S.18S.exp.,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,1670,,515,,,,,,988,10940,,,,,,,182,,,,,,,,,,,,8868,,,,,,,,,,,,,,23,,,17,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,32
2019.08.06_2.3_bottom_18S.18S.exp.,15,478,,,,,,,,15,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,14,,,16,,,,,,,24,7,,,,,,,2,,,,,,47,5,,35,,,,,,,7,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,8,,,5,,,,,,,,,600,,,,,,,,,,,,,9,,,,,,,,,919,,,,,,12,156,,,,,,,,,,2,,137,3461,29,15,10,,,,2,,,,,,,,,,,1213,,,,111,,,,,,,,87,,,,,,22,,18,26,,,73,4,,,,,,19,13,,8,,,,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2603
2019.08.07_8.2_18S.18S.exp.,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592,,138,,,,,,341,3391,,,,,,,213,,,,,,,,,,,,517,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.06.2019_1B_10h_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,1354,,338,,,,,,869,10093,,,,,,,159,,,,,,,,,,,,4506,,,,1,,,,,,,,,,,,,26,,,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
2019.08.06_1_salt_18S.18S.exp.,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,1214,,235,,,,,,306,5516,,,,,,,131,,,,,,,,,,,,38,4623,,,,,,,,,,,,,,,,5,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
2019.08.07_7.3_lab_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,,222,,,,,,675,4999,,,,,,,77,,,,,,,,,,,,2541,82,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,82
08.06.2019_1B_48h_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1121,,334,,,,,,803,7215,,,,,,,87,,,,,,,,,,,,12115,,,,,,,,,,,,,,,,,7,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
08.06.2019_1A_10h_18S.18S.exp.,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,1869,,580,,,,,,1651,12840,,,,,,,175,,,,,,,,,,,4,6862,,,,,,,,1,,,,,,,,,20,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,29
2019.08.07_7_sediment_18S.18S.exp.,,,,,,,,,1,,,,,,,,,,,,,17,,,,,,,,7,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,2,26,,,,,,,21,,,2,,,14,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,35,,1197,,,,21,,,,,,,,,,,,,,,,,,102,,,,7,,,,,,,,,,,,,,,,,,,,,182,,,,,,,,,,,2802,,,,,,,,,,,,,370,,63,,,,,,580,1507,,,,,,,44,,,17,,,,,23,,,19,27,5929,,,276,,,,,,,,,122,,,,776,,86,18,,,,2,2,,,2,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,63,3,,,,,,,,,,,,,14,371,,,,311,,,,,,,,,,,,,,,22,,530
08.06.2019_2A_Bottom_24h_18S.18S.exp.,12,53,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,4,,,7,4,,51,,,,,,,13,,,,,,,,,,,,,,2,,,9,,,,,,,3,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,7,,,3,,,,,,,,,503,,,,,,,,,,,13,,79,,,,,,,,16,8008,,9,,,,28,562,,,,,,,,,,,,30,252,21,,91,,,,14,,,,,,17,7,,,,1906,,,,34,,,2,,,,3,78,,,,,25,,,30,16,22,,109,,,,,,,26,25,,8,,,,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,2787
2019.08.07_6.2_18S.18S.exp.,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,267,,,,,,,,735,853,,,,,,,,,,,,,,,,,,,14928,12,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,132
2019.08.07_8.3_18S.18S.exp.,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1294,,326,,,,,,1259,7593,,,,,,,94,,,,,,,,,,,,1031,,,,,,,,,,,,,,,,,14,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
2019.08.06_3_salt_18S.18S.exp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,710,,,,,,,,373,4617,,,,,,,111,,,,,,,,,,,,43,6876,,,,,,,,,,,,,22,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.06.2019_5B_10h_18S.18S.exp.,,,,,,,,,,,,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,,,,,,,,,,,39,,,,26,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,327,,94,,,,,,63,3912,,,,,,,133,,,,,,,,,,,,236,38,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,479,,,,,,,,,,,41,,,,,,,,,,,,100
08.06.2019_3A_48h_18S.18S.exp.,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793,,89,,,,,,1034,5224,,,,,,,221,,,,,,,,,,,,145,,,6,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
08.06.2019_5_T0_18S.18S.exp.,,29,,,,,,,,,,,2158,,,,254,,,,28,,,,,,,,,,,,90,,,,,,,,,,,,,,,,167,575,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,42,,,,,,,,,,3813,,,,,,,,34,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,139,,,,,,,,,,,,,166,,67,,,,,,175,1203,,,,,,,99,,,,,,,,,,,,127,228,52,,15,,,6,,,,,,,,,,593,,,,,23,,,,,,,,,,,,,,,,,35,,,,19,,,,,,20,37,,,,,,,225,,,,,,,,,,,,,,,213,,,,,,,16,,,,19,,,,,,,,,80,534,,1047
08.06.2019_4A_48h_18S.18S.exp.,,,,,,,,,,,,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,69,,,,,,,,,,,,,,,,253,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,5,,,,,,,,,,,317,,,,,,,,213,1691,,,,,,,48,,,,,,,,,,,,,171,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,58,,,,,,,230,,,,74,,,,,,,,,,,,642
08.06.2019_3B_10h_18S.18S.exp.,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,3,,,,,,,,,,,113,,142,,,,,,461,9138,991,,,,,,151,,,,,,,,,,,,393,5,,6,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10
2019.08.07_8.2_lab_18S.18S.exp.,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,697,,211,,,,,,367,3824,,,,,,,61,,,,,,,,,,,,1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.06.2019_5B_48h_18S.18S.exp.,,,,,,,,,,,,,,,,,300,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,7,,,,,,,,,,,,885,,73,,,,,,2943,4941,,,,,,,200,,,,,,,,,,,,,124,,,,,,,,,,,,,,,,,,,,,147,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,29,,,,,,,,,,,41,,,,25,,,,,,,,,,,,,,,,,,,,,,,730
08.06.2019_5A_10h_18S.18S.exp.,,,,,,,,,,,,,,,,,357,,,,,,,,,,,32,,,,,68,,,,,,,,,,,,,,,,41,618,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,320,,79,,,,,,276,3419,,,,,,,56,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,82,,,,103,,,,,,,,,,15,917,21,,,,,,,,,117,,390
